	desc
GO:0015643	"""Binding to a toxic substance, a poisonous substance that causes damage to biological systems."" [GOC:bf, GOC:curators, GOC:jl, GOC:pr]"
GO:0003823	"""Binding to an antigen, any substance which is capable of inducing a specific immune response and of reacting with the products of that response, the specific antibody or specifically sensitized T-lymphocytes, or both. Binding may counteract the biological activity of the antigen."" [GOC:jl, ISBN:0198506732, ISBN:0721662544]"
GO:0044590	"""Binding to iron molybdenum cofactor, the cofactor located at the active site of the molybdenum nitrogenase."" [GOC:mengo_curators, GOC:tt, PMID:18429691]"
GO:0070025	"""Binding to carbon monoxide (CO)."" [GOC:ecd]"
GO:1904483	"""Binding to synthetic cannabinoid."" [GO_REF:0000067, GOC:mr, GOC:TermGenie, PMID:10700562]"
GO:0008430	"""Binding to a selenium (Se) ion."" [GOC:ai]"
GO:0031409	"""Binding to a pigment, a general or particular coloring matter in living organisms, e.g. melanin."" [GOC:mah]"
GO:0140272	"""Binding to a protein or protein complex from a different species, for example a pathogen molecule binding to a host protein."" [PMID:28861068]"
GO:0050825	"""Binding to ice, water reduced to the solid state by cold temperature. It is a white or transparent colorless substance, crystalline, brittle, and viscoidal."" [GOC:curators]"
GO:0070026	"""Binding to nitric oxide (NO)."" [GOC:ecd]"
GO:1902670	"""Binding to carbon dioxide."" [GO_REF:0000067, GOC:bhm, GOC:TermGenie, PMID:15491402]"
GO:0072328	"""Binding to an alkene, any acyclic branched or unbranched hydrocarbon having one carbon-carbon double bond and the general formula CnH2n."" [GOC:mah]"
GO:0005515	"""Binding to a protein."" [GOC:go_curators]"
GO:0046790	"""Binding to a virion, either by binding to components of the capsid or the viral envelope."" [GOC:ai]"
GO:0030246	"""Binding to a carbohydrate, which includes monosaccharides, oligosaccharides and polysaccharides as well as substances derived from monosaccharides by reduction of the carbonyl group (alditols), by oxidation of one or more hydroxy groups to afford the corresponding aldehydes, ketones, or carboxylic acids, or by replacement of one or more hydroxy group(s) by a hydrogen atom. Cyclitols are generally not regarded as carbohydrates."" [GOC:mah]"
GO:1904493	"""Binding to tetrahydrofolyl-poly(glutamate) polymer."" [GO_REF:0000067, GOC:BHF, GOC:hal, GOC:TermGenie, PMID:24863754]"
GO:0033226	"""Binding to 2-aminoethylphosphonate."" [GOC:mlg]"
GO:0048038	"""Binding to a quinone, any member of a class of diketones derivable from aromatic compounds by conversion of two CH groups into CO groups with any necessary rearrangement of double bonds."" [ISBN:0198506732]"
GO:0050840	"""Binding to a component of the extracellular matrix."" [GOC:ai]"
GO:0008289	"""Binding to a lipid."" [GOC:ai]"
GO:0051540	"""Binding to a cluster of atoms including both metal ions and nonmetal atoms, usually sulfur and oxygen. Examples include iron-sulfur clusters and nickel-iron-sulfur clusters."" [GOC:jsg]"
GO:0097159	"""Binding to an organic cyclic compound, any molecular entity that contains carbon arranged in a cyclic molecular structure."" [GOC:sjw, PMID:7583672]"
GO:0044877	"""Binding to a macromolecular complex."" [GOC:jl]"
GO:0033218	"""Binding to an amide, any derivative of an oxoacid in which an acidic hydroxy group has been replaced by an amino or substituted amino group."" [GOC:mah]"
GO:0072341	"""Binding to a modified amino acid."" [GOC:mah]"
GO:0140355	"""The activity of a gene product that interacts with a cargo receptor and initiates endocytosis."" [PMID:15797858]"
GO:0046812	"""Binding to the surface of a host cell."" [GOC:ai]"
GO:0043176	"""Binding to an amine, a weakly basic organic compound that contains an amino or a substituted amino group."" [GOC:jl]"
GO:0050436	"""Binding to a microfibril, any small fibril occurring in biological material."" [GOC:ai]"
GO:0097243	"""Binding to a flavonoid, a compound containing two or more aromatic rings, each bearing at least one aromatic hydroxyl and connected with a carbon bridge."" [GOC:sl, PMID:20599706]"
GO:0000035	"""Binding to an acyl group, any group formally derived by removal of the hydroxyl group from the acid function of a carboxylic acid."" [GOC:curators, ISBN:0198506732]"
GO:0046848	"""Binding to hydroxyapatite, the calcium phosphate mineral of formula Ca10(PO4)6(OH)2 found both in rocks of nonorganic origin and as a component of bone and dentin."" [PMID:2438276]"
GO:1901681	"""Binding to a sulfur compound."" [GOC:pr, GOC:TermGenie]"
GO:0019808	"""Binding to a polyamine, an organic compound containing two or more amino groups."" [GOC:ai]"
GO:0050997	"""Binding to a quaternary ammonium group, including glycine betaine, choline, carnitine and proline. A quaternary ammonium group is any compound that can be regarded as derived from ammonium hydroxide or an ammonium salt by replacement of all four hydrogen atoms of the NH4+ ion by organic groups."" [GOC:ai]"
GO:0036094	"""Binding to a small molecule, any low molecular weight, monomeric, non-encoded molecule."" [GOC:curators, GOC:pde, GOC:pm]"
GO:0005549	"""Binding to an odorant, any substance capable of stimulating the sense of smell."" [GOC:jl, ISBN:0721662544]"
GO:0140662	"""Binding to a protein or a protein-containing complex to assist the protein folding process, driven by ATP hydrolysis."" [PMID:27365453]"
GO:0070287	"""Combining with ferritin, and delivering ferritin into the cell via endocytosis."" [GOC:bf, PMID:17459943, PMID:19154717]"
GO:0030226	"""Combining with an apolipoprotein to initiate a change in cell activity."" [GOC:mah, ISBN:0198506732]"
GO:0061714	"""Combining selectively with extracellular folic acid and delivering it into the cell via endocytosis."" [GOC:BHF, GOC:hal]"
GO:0033568	"""Combining with lactoferrin and delivering lactoferrin into the cell via endocytosis. Lactoferrin is an iron-binding glycoprotein which binds ferric iron most efficiently at low pH."" [GOC:bf, GOC:mlg, PMID:16261254]"
GO:0004998	"""Combining selectively with transferrin, and delivering transferrin into the cell via endocytosis. Transferrin is a major iron carrier protein in vertebrates."" [GOC:bf, PMID:2678449, PMID:3011819]"
GO:0030228	"""Combining with a lipoprotein particle and delivering the lipoprotein particle into the cell via endocytosis. A lipoprotein particle, also known as a lipoprotein, is a clathrate complex consisting of a lipid enwrapped in a protein host without covalent binding in such a way that the complex has a hydrophilic outer surface consisting of all the protein and the polar ends of any phospholipids."" [GOC:bf, GOC:mah, PMID:12827279]"
GO:0140488	"""Binding specifically to heme to deliver it to a transport vesicle."" [PMID:28193844, PMID:32185489]"
GO:0008196	"""Receiving vitellogenin, and delivering vitellogenin into the cell via endocytosis."" [GOC:bf, PMID:12429745]"
GO:0005044	"""Combining with any modified low-density lipoprotein (LDL) or other polyanionic ligand and delivering the ligand into the cell via endocytosis. Ligands include acetylated and oxidized LDL, Gram-positive and Gram-negative bacteria, apoptotic cells, amyloid-beta fibrils, and advanced glycation end products (AGEs)."" [GOC:bf, PMID:11790542, PMID:12379907, PMID:12621157, PMID:20981357]"
GO:0004873	"""Receiving an asialoglycoprotein, and delivering the asialoglycoprotein into the cell via endocytosis. An asialoglycoprotein is a plasma glycoproteins from which the terminal sialic acid residue on their complex carbohydrate groups has been removed. The asialoglycoprotein receptor recognizes the terminal galactose and N-acetylgalactosamine units of the asialoglycoprotein, the receptor-ligand complex is internalized and transported to a sorting organelle where disassociation occurs before the receptor is recycled to the cell membrane."" [GOC:bf, PMID:11278827, PMID:7624395, Wikipedia:Asialoglycoprotein]"
GO:0016964	"""Combining with alpha-2 macroglobulin and delivering alpha-2 macroglobulin into the cell via receptor-mediated endocytosis."" [GOC:bf, GOC:ma, PMID:6188403]"
GO:0097020	"""Binding specifically to a substance (cargo) to deliver it to a COPII transport vesicle. Cargo receptors span a membrane (either the plasma membrane or a vesicle membrane), binding simultaneously to cargo molecules and coat adaptors, to efficiently recruit soluble proteins to nascent vesicles."" [GOC:rb, PMID:16957051, PMID:20236934]"
GO:0090130	"""The process in which the population of cells that make up a tissue undergo directed movement."" [GOC:ascb_2009, GOC:dph, GOC:tb]"
GO:0050879	"""Any physiological process involved in changing the position of a multicellular organism or an anatomical part of a multicellular organism."" [GOC:dph, GOC:mtg_muscle, GOC:tb]"
GO:0030431	"""Any process in which an organism enters and maintains a periodic, readily reversible state of reduced awareness and metabolic activity. Usually accompanied by physical relaxation, the onset of sleep in humans and other mammals is marked by a change in the electrical activity of the brain."" [ISBN:0192800981]"
GO:0001503	"""The formation of bone or of a bony substance, or the conversion of fibrous tissue or of cartilage into bone or a bony substance."" [GOC:mtg_mpo, PMID:17572649]"
GO:0007610	"""The internally coordinated responses (actions or inactions) of animals (individuals or groups) to internal or external stimuli, via a mechanism that involves nervous system activity."" [GOC:ems, GOC:jl, ISBN:0395448956, PMID:20160973]"
GO:0008340	"""The pathways that regulate the duration of the adult phase of the life-cycle of an animal."" [PMID:25561524, PMID:273723695, PMID:3424805]"
GO:0050817	"""The process in which a fluid solution, or part of it, changes into a solid or semisolid mass."" [ISBN:0198506732]"
GO:0071684	"""The developmental process in which an organism emerges from a surrounding protective structure such as an egg or pupa case."" [GOC:mah]"
GO:0097242	"""The process in which amyloid-beta is removed from extracellular brain regions by mechanisms involving cell surface receptors."" [GOC:aruk, GOC:bc, GOC:BHF, PMID:18289866, PMID:19098903, PMID:26005850]"
GO:0042303	"""The periodic casting off and regeneration of an outer covering of cuticle, feathers, hair, horns, skin, etc."" [GOC:jl, ISBN:0198506732]"
GO:0007586	"""The whole of the physical, chemical, and biochemical processes carried out by multicellular organisms to break down ingested nutrients into components that may be easily absorbed and directed into metabolism."" [GOC:isa_complete, ISBN:0198506732]"
GO:0003008	"""A multicellular organismal process carried out by any of the organs or tissues in an organ system. An organ system is a regularly interacting or interdependent group of organs or tissues that work together to carry out a biological objective."" [GOC:mtg_cardio]"
GO:0044706	"""A multicellular organism process which involves another multicellular organism of the same or different species."" [GOC:jl]"
GO:0048771	"""The reorganization or renovation of existing tissues. This process can either change the characteristics of a tissue such as in blood vessel remodeling, or result in the dynamic equilibrium of a tissue such as in bone remodeling."" [GOC:ebc]"
GO:0007585	"""The process of gaseous exchange between an organism and its environment. In plants, microorganisms, and many small animals, air or water makes direct contact with the organism's cells or tissue fluids, and the processes of diffusion supply the organism with dioxygen (O2) and remove carbon dioxide (CO2). In larger animals the efficiency of gaseous exchange is improved by specialized respiratory organs, such as lungs and gills, which are ventilated by breathing mechanisms."" [ISBN:0198506732]"
GO:0022608	"""The attachment of a multicellular organism to a substrate or other organism."" [GOC:isa_complete]"
GO:0032898	"""The appearance of a neurotrophin due to biosynthesis or secretion by cells in a neuron's target field, resulting in an increase in its intracellular or extracellular levels. A neurotrophin is any of a family of growth factors that prevent apoptosis in neurons and promote nerve growth."" [GOC:ecd, GOC:mah, GOC:mtg_MIT_16mar07]"
GO:0014823	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an activity stimulus."" [GOC:mtg_muscle]"
GO:0009628	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an abiotic (not derived from living organisms) stimulus."" [GOC:hb]"
GO:0009719	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus arising within the organism."" [GOC:sm]"
GO:0006950	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a disturbance in organismal or cellular homeostasis, usually, but not necessarily, exogenous (e.g. temperature, humidity, ionizing radiation)."" [GOC:mah]"
GO:0014854	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an inactivity stimulus."" [GOC:mtg_muscle]"
GO:0051606	"""The series of events in which a stimulus is received by a cell or organism and converted into a molecular signal."" [GOC:add, GOC:ai, GOC:dph, GOC:mah]"
GO:0051775	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating redox state. Redox state refers to the balance of oxidized versus reduced forms of electron donors and acceptors in an organelle, cell or organ; plastoquinone, glutathione (GSH/GSSG), and nicotinamide nucleotides (NAD+/NADH and NADP+/NADPH) are among the most important."" [GOC:mah, PMID:15131240, PMID:16987039]"
GO:0009605	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an external stimulus."" [GOC:hb]"
GO:0009607	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a biotic stimulus, a stimulus caused or produced by a living organism."" [GOC:hb]"
GO:0042221	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a chemical stimulus."" [GOC:jl]"
GO:0036268	"""Self-propelled movement of an organism from one location to another through water, often by means of active fin movement."" [GOC:cvs, PMID:22459995]"
GO:0033058	"""Self-propelled movement of a cell or organism from one location to another along an axis."" [GOC:mtg_MIT_16mar07]"
GO:0060361	"""Self-propelled movement of an organism from one location to another through the air, usually by means of active wing movement."" [GOC:dph]"
GO:0019725	"""Any process involved in the maintenance of an internal steady state at the level of the cell."" [GOC:isa_complete, GOC:jl, ISBN:0395825172]"
GO:0048871	"""Any process involved in the maintenance of an internal steady state at the level of the multicellular organism."" [GOC:isa_complete]"
GO:0048878	"""Any biological process involved in the maintenance of an internal steady state of a chemical."" [GOC:isa_complete]"
GO:0043696	"""The process in which a specialized structure (cell, tissue or organ) loses structural or functional features that characterize it in the mature organism, or some other relatively stable phase of the organism's life history. Under certain conditions, these structures can revert back to the features of their ancestors."" [GOC:dph, GOC:pg]"
GO:0022611	"""A developmental process in which dormancy (sometimes called a dormant state) is induced, maintained or broken. Dormancy is a suspension of most physiological activity and growth that can be reactivated."" [GOC:isa_complete, GOC:PO_curators, PO_REF:00009]"
GO:0031128	"""A developmental process involving two tissues in which one tissue (the inducer) produces a signal that directs cell fate commitment of cells in the second tissue (the responder)."" [GOC:cjm, GOC:dph, GOC:mah, PMID:24503535]"
GO:0097737	"""A maturation process by which an organism acquires the ability to reproduce. In fungi, reproductive competence only occurs in a population of filamentous cells that form a mycelium."" [GOC:di, PMID:23864594]"
GO:0048856	"""The biological process whose specific outcome is the progression of an anatomical structure from an initial condition to its mature state. This process begins with the formation of the structure and ends with the mature structure, whatever form that may be including its natural destruction. An anatomical structure is any biological entity that occupies space and is distinguished from its surroundings. Anatomical structures can be macroscopic such as a carpel, or microscopic such as an acrosome."" [GO_REF:0000021]"
GO:0021700	"""A developmental process, independent of morphogenetic (shape) change, that is required for an anatomical structure, cell or cellular component to attain its fully functional state."" [GO_REF:0000021, GOC:cls, GOC:dgh, GOC:dph, GOC:jid]"
GO:0043934	"""The process whose specific outcome is the progression of a spore over time, from its initiation to the mature structure. A spore is a structure that can be used for dissemination, for survival of adverse conditions because of its heat and dessication resistance, and/or for reproduction."" [GOC:pamgo_curators]"
GO:0098727	"""Any process by which the numbers of cells of a particular type or in a tissue are maintained."" [GOC:dos]"
GO:0019954	"""A type of reproduction in which new individuals are produced from a single organism, either from an unfertilized egg or from a single cell or group of cells."" [ISBN:0387520546, PMID:22977071, PMID:28779329, PMID:29559496]"
GO:1990277	"""A type of reproduction in which new individuals are produced from two individuals, with the fusion of two somatic cells."" [GOC:di, PMID:26210747]"
GO:0032504	"""The biological process in which new individuals are produced by one or two multicellular organisms. The new individuals inherit some proportion of their genetic material from the parent or parents."" [GOC:isa_complete, GOC:jid]"
GO:0032505	"""The biological process in which new individuals are produced by one or two single-celled organisms. The new individuals inherit some proportion of their genetic material from the parent or parents."" [GOC:isa_complete]"
GO:0019953	"""A type of reproduction that combines the genetic material of two gametes (such as a sperm or egg cell or fungal spores). The gametes have an haploid genome (with a single set of chromosomes, the product of a meiotic division) and combines with one another to produce a zygote (diploid)."" [Wikipedia:Sexual_reproduction]"
GO:0075325	"""Any process in which an organism disseminates its spores."" [Wikipedia:Spore]"
GO:0022414	"""A biological process that directly contributes to the process of producing new individuals by one or two organisms. The new individuals inherit some proportion of their genetic material from the parent or parents."" [GOC:dph, GOC:isa_complete]"
GO:0044403	"""A process carried out by gene products in an organism that enable the organism to engage in a symbiotic relationship, a more or less intimate association, with another organism. The various forms of symbiosis include parasitism, in which the association is disadvantageous or destructive to one of the organisms; mutualism, in which the association is advantageous, or often necessary to one or both and not harmful to either; and commensalism, in which one member of the association benefits while the other is not affected. However, mutualism, parasitism, and commensalism are often not discrete categories of interactions and should rather be perceived as a continuum of interaction ranging from parasitism to mutualism. In fact, the direction of a symbiotic interaction can change during the lifetime of the symbionts due to developmental changes as well as changes in the biotic/abiotic environment in which the interaction occurs. Microscopic symbionts are often referred to as endosymbionts."" [GOC:cc, PMID:31257129]"
GO:0035821	"""The process in which an organism effects a change in the structure or processes of another organism."" [GOC:bf]"
GO:0044111	"""The progression of an organism from an initial condition to a later condition, occurring when the organism is in a symbiotic interaction."" [GO:jl, GOC:pamgo_curators]"
GO:0140975	"""The disruption of a cellular component of another organism, leading to damage or temporary subversion of that structure. In some cases this can cause malfunctioning of the cells and death of the target organism."" [GOC:pg]"
GO:0072690	"""A phase of population growth during which single celled organisms reproduce by budding, fission, or other asexual methods."" [GOC:mah, GOV:vw]"
GO:0044851	"""The cyclical periods of growth (anagen), regression (catagen), quiescence (telogen), and shedding (exogen) in the life of a hair; one of the collection or mass of filaments growing from the skin of an animal, and forming a covering for a part of the head or for any part or the whole of the body."" [GOC:jl]"
GO:1990636	"""A life cycle stage during which the reproductive capacity and fitness of an organism declines."" [PMID:24914937, PMID:25523082, PMID:27353257]"
GO:0060206	"""The progression of physiological phases, occurring in the endometrium during the estrous cycle that recur at regular intervals during the reproductive years. The estrous cycle is an ovulation cycle where the endometrium is resorbed if pregnancy does not occur."" [GOC:dph]"
GO:0022403	"""One of the distinct periods or stages into which the cell cycle is divided. Each phase is characterized by the occurrence of specific biochemical and morphological events."" [GOC:mtg_cell_cycle]"
GO:0022601	"""The progression of physiological phases, occurring in the endometrium during the menstrual cycle that recur at regular intervals during the reproductive years. The menstrual cycle is an ovulation cycle where the endometrium is shed if pregnancy does not occur."" [GOC:dph, GOC:isa_complete, GOC:jid]"
GO:0033060	"""The deposition or aggregation of coloring matter in an ocellus, a minute simple eye found in many invertebrates."" [GOC:mtg_MIT_16mar07]"
GO:0048066	"""The developmental process that results in the deposition of coloring matter in an organism, tissue or cell."" [ISBN:0582227089]"
GO:0007624	"""The specific actions or reactions of an organism that recur with a regularity more frequent than every 24 hours."" [GOC:jl, PMID:19708721]"
GO:0007623	"""Any biological process in an organism that recurs with a regularity of approximately 24 hours."" [GOC:bf, GOC:go_curators]"
GO:0033036	"""Any process in which a macromolecule is transported to, or maintained in, a specific location."" [GOC:mah]"
GO:0051234	"""Any process that localizes a substance or cellular component. This may occur via movement, tethering or selective degradation."" [GOC:ai, GOC:dos]"
GO:0051640	"""Any process in which an organelle is transported to, and/or maintained in, a specific location."" [GOC:ai]"
GO:0051235	"""Any process in which a cell, substance or cellular entity, such as a protein complex or organelle, is maintained in a location and prevented from moving elsewhere."" [GOC:ai, GOC:dph, GOC:tb]"
GO:0031503	"""A localization process that acts on a protein complex; the complex is transported to, or maintained in, a specific location."" [GOC:mah]"
GO:0046745	"""The process in which a capsid acquires another membrane envelope, subsequent to acquiring an initial membrane envelope."" [ISBN:0072370319, ISBN:0781718325, PMID:11533156]"
GO:0098669	"""The process by which a preexisting viral infection prevents a secondary infection with the same or a closely related virus. Typically some aspect of viral entry is inhibited, but post entry mechanisms have also been documented."" [PMID:11985726, PMID:23692331, PMID:24089557, PMID:8012757, VZ:3971]"
GO:0019080	"""A process by which a viral gene is converted into a mature gene product or products (proteins or RNA). This includes viral transcription, processing to produce a mature RNA product, and viral translation."" [GOC:bf, GOC:jl, ISBN:0121585336]"
GO:0019042	"""The process by which, after initial infection, a virus lies dormant within a cell and viral production ceases. The process ends when the virus switches from latency and starts to replicate."" [GOC:jl]"
GO:0098689	"""The process by which a virus switches on its replication cycle in an infected cell.  The process is typically controlled by a genetic swtich controlled by environmental factors such as cell type, cell shape, the availability of nutrients, superinfection or exposure of infected cells to UV or various chemical stimuli."" [PMID:19416825, PMID:24339346, VZ:3964]"
GO:0099009	"""The circularization of a viral genome following infection of a host cell. This is common amongst bacterial viruses to protect the viral genome ends from nucleases, to convert the linear genome to an integrative precursor or to give rise to the replicative form of the genome. It can be mediated by covalent closure of the DNA sticky ends, recombinaison between redundant terminal sequences or via the binding of a protein at the viral DNA extremities."" [PMID:11894948, PMID:15489417, PMID:19523475, PMID:319596, VZ:3968]"
GO:0046794	"""The directed movement of a virus, or part of a virus, into, out of, or within a host cell."" [GOC:ai]"
GO:0019061	"""The process by which an incoming virus is disassembled in the host cell to release a replication-competent viral genome."" [GOC:plm, ISBN:0781702534, PMID:8162442]"
GO:0019058	"""A set of processes which all viruses follow to ensure survival; includes attachment and entry of the virus particle, decoding of genome information, translation of viral mRNA by host ribosomes, genome replication, and assembly and release of viral particles containing the genome."" [ISBN:1555811272]"
GO:0039663	"""Merging of the virion membrane and a host membrane (host plasma membrane or host organelle membrane) that is involved in the uptake of a virus into a host cell."" [GOC:bf, GOC:jl, UniProtKB-KW:KW-1168]"
GO:0098678	"""A process by which the range of hosts which a virus can bind and infect is changed. Examples include phages that switch between types of fibers via the action of a virally encoded invertase."" [PMID:6232613, VZ:4498]"
GO:0042440	"""The chemical reactions and pathways involving pigment, any general or particular coloring matter in living organisms, e.g. melanin."" [GOC:jl, ISBN:0198506732]"
GO:0009058	"""The chemical reactions and pathways resulting in the formation of substances; typically the energy-requiring part of metabolism in which simpler substances are transformed into more complex ones."" [GOC:curators, ISBN:0198547684]"
GO:1902421	"""The chemical reactions and pathways involving H2 (dihydrogen)."" [GOC:mengo_curators, GOC:TermGenie, PMID:20395274, PMID:20692761]"
GO:0044238	"""The chemical reactions and pathways involving those compounds which are formed as a part of the normal anabolic and catabolic processes. These processes take place in most, if not all, cells of the organism."" [GOC:go_curators, http://www.metacyc.org]"
GO:0044281	"""The chemical reactions and pathways involving small molecules, any low molecular weight, monomeric, non-encoded molecule."" [GOC:curators, GOC:pde, GOC:vw]"
GO:1990845	"""The regulated production of heat in response to short term environmental changes, such as stress, diet or reduced temperature."" [PMID:17260010, PMID:20363363]"
GO:0018933	"""The chemical reactions and pathways involving nicotine, (S)(-)-3-(1-methyl-2-pyrrolidinyl)pyridine."" [GOC:sm, ISBN:0198547684]"
GO:0016999	"""The chemical reactions and pathways involving an antibiotic, a substance produced by or derived from certain fungi, bacteria, and other organisms, that can destroy or inhibit the growth of other microorganisms."" [GOC:cab2]"
GO:0006735	"""A metabolic process that generates a pool of NADH by the reduction of NAD+."" [GOC:mah]"
GO:0032963	"""The chemical reactions and pathways involving collagen, any of a group of fibrous proteins of very high tensile strength that form the main component of connective tissue in animals. Collagen is highly enriched in glycine (some regions are 33% glycine) and proline, occurring predominantly as 3-hydroxyproline (about 20%)."" [GOC:mah, ISBN:0198506732]"
GO:0019748	"""The chemical reactions and pathways resulting in many of the chemical changes of compounds that are not necessarily required for growth and maintenance of cells, and are often unique to a taxon. In multicellular organisms secondary metabolism is generally carried out in specific cell types, and may be useful for the organism as a whole. In unicellular organisms, secondary metabolism is often used for the production of antibiotics or for the utilization and acquisition of unusual nutrients."" [GOC:go_curators]"
GO:0009056	"""The chemical reactions and pathways resulting in the breakdown of substances, including the breakdown of carbon compounds with the liberation of energy for use by the cell or organism."" [ISBN:0198547684]"
GO:0045730	"""A phase of elevated metabolic activity, during which oxygen consumption increases; this leads to the production, by an NADH dependent system, of hydrogen peroxide (H2O2), superoxide anions and hydroxyl radicals."" [ISBN:0198506732]"
GO:0006807	"""The chemical reactions and pathways involving organic or inorganic compounds that contain nitrogen."" [GOC:jl, ISBN:0198506732]"
GO:1901275	"""The chemical reactions and pathways involving tartrate."" [GOC:TermGenie, GOC:yaf, UniPathway:UPA00839]"
GO:1901286	"""The chemical reactions and pathways involving iron-sulfur-molybdenum cofactor."" [GOC:TermGenie, GOC:yaf, UniPathway:UPA00782]"
GO:0032259	"""The process in which a methyl group is covalently attached to a molecule."" [GOC:mah]"
GO:0071704	"""The chemical reactions and pathways involving an organic substance, any molecular entity containing carbon."" [GOC:mah]"
GO:1901902	"""The chemical reactions and pathways involving tyrocidine."" [GOC:TermGenie, GOC:yaf, PMID:9352938]"
GO:1901764	"""The chemical reactions and pathways involving phosphinothricin."" [GOC:TermGenie, GOC:yaf]"
GO:0006116	"""A metabolic process that results in the oxidation of reduced nicotinamide adenine dinucleotide, NADH, to the oxidized form, NAD+."" [GOC:ai]"
GO:0070085	"""The covalent attachment and further modification of carbohydrate residues to a substrate molecule."" [GOC:hjd, GOC:mah]"
GO:0070988	"""The process of removing one or more methyl groups from a molecule."" [GOC:BHF, GOC:rl]"
GO:0030029	"""Any cellular process that depends upon or alters the actin cytoskeleton, that part of the cytoskeleton comprising actin filaments and their associated proteins."" [GOC:mah]"
GO:0071554	"""A process that results in the biosynthesis of constituent macromolecules, assembly, arrangement of constituent parts, or disassembly of a cell wall."" [GOC:mah]"
GO:0061919	"""A cellular process involving delivery of a portion of the cytoplasm to lysosomes or to the plant or fungal vacuole that does not involve direct transport through the endocytic or vacuolar protein sorting (Vps) pathways. This process typically leads to degradation of the cargo; however, it can also be used to deliver resident proteins, such as in the cytoplasm-to-vacuole targeting (Cvt) pathway."" [PMID:21997368, PMID:22966490, PMID:28596378]"
GO:0019835	"""The rupture of cell membranes and the loss of cytoplasm."" [UniProtKB-KW:KW-0204]"
GO:0008037	"""The process in which a cell in an organism interprets its surroundings."" [GOC:go_curators]"
GO:0010118	"""The process of opening or closing of stomata, which is directly related to the stomatal conductance (measuring rate of passage of either water vapor or carbon dioxide (CO2) through stomata)."" [GOC:sm]"
GO:0007049	"""The progression of biochemical and morphological phases and events that occur in a cell during successive cell replication or nuclear replication events. Canonically, the cell cycle comprises the replication and segregation of genetic material followed by the division of the cell, but in endocycles or syncytial cells nuclear replication or nuclear division may not be followed by cell division."" [GOC:go_curators, GOC:mtg_cell_cycle]"
GO:0033059	"""The deposition or aggregation of coloring matter in a cell."" [GOC:mtg_MIT_16mar07]"
GO:0007154	"""Any process that mediates interactions between a cell and its surroundings. Encompasses interactions such as signaling or attachment between one cell and another cell, between a cell and an extracellular matrix, or between a cell and any other aspect of its environment."" [GOC:mah]"
GO:0048870	"""Any process involved in the controlled self-propelled movement of a cell that results in translocation of the cell from one place to another."" [GOC:dgh, GOC:dph, GOC:isa_complete, GOC:mlg]"
GO:0051301	"""The process resulting in division and partitioning of components of a cell to form more cells; may or may not be accompanied by the physical separation of a cell into distinct, individually membrane-bounded daughter cells."" [GOC:di, GOC:go_curators, GOC:pr]"
GO:0060352	"""The appearance of a cell adhesion molecule due to biosynthesis or secretion."" [GOC:BHF, GOC:rl]"
GO:0008283	"""The multiplication or reproduction of cells, resulting in the expansion of a cell population."" [GOC:mah, GOC:mb]"
GO:0009292	"""The introduction of genetic information into a cell to create a genetically different individual, without production of new individuals."" [PMID:26184597]"
GO:0044237	"""The chemical reactions and pathways by which individual cells transform chemical substances."" [GOC:go_curators]"
GO:0090618	"""The process of removing the PCNA complex from DNA when Okazaki fragments are completed or the replication fork terminates."" [GOC:rb, PMID:23499004]"
GO:0034337	"""The process of assisting in the covalent and noncovalent assembly of single or multimeric RNAs into the correct tertiary structure."" [GOC:mah, PMID:10393192]"
GO:0140253	"""A cellular process in which two or more cells combine together, their plasma membrane fusing, producing a single cell. In some cases, nuclei fuse, producing a polyploid cell, while in other cases, nuclei remain separate, producing a syncytium."" [Wikipedia:Cell_fusion]"
GO:0071840	"""A process that results in the biosynthesis of constituent macromolecules, assembly, arrangement of constituent parts, or disassembly of a cellular component."" [GOC:mah]"
GO:0007017	"""Any cellular process that depends upon or alters the microtubule cytoskeleton, that part of the cytoskeleton comprising microtubules and their associated proteins."" [GOC:mah]"
GO:0001906	"""Any process in an organism that results in the killing of its own cells or those of another organism, including in some cases the death of the other organism. Killing here refers to the induction of death in one cell by another cell, not cell-autonomous death due to internal or other environmental conditions."" [GOC:add]"
GO:0007163	"""Any cellular process that results in the specification, formation or maintenance of anisotropic intracellular organization or cell growth patterns."" [GOC:mah]"
